year	category	nominee	winner	film
1928	ACTOR	Richard Barthelmess	False	The Noose
1928	ACTOR	Emil Jannings	True	The Last Command
1928	ACTRESS	Louise Dresser	False	A Ship Comes In
1928	ACTRESS	Janet Gaynor	True	7th Heaven
1928	ACTRESS	Gloria Swanson	False	Sadie Thompson
1928	ART DIRECTION	Rochus Gliese	False	Sunrise
1928	ART DIRECTION	William Cameron Menzies	True	The Dove;
1928	ART DIRECTION	Harry Oliver	False	7th Heaven
1928	CINEMATOGRAPHY	George Barnes	False	The Devil Dancer;
1928	CINEMATOGRAPHY	Charles Rosher	True	Sunrise
1928	CINEMATOGRAPHY	Karl Struss	True	Sunrise
1928	DIRECTING (Comedy Picture)	Lewis Milestone	True	Two Arabian Knights
1928	DIRECTING (Comedy Picture)	Ted Wilde	False	Speedy
1928	DIRECTING (Dramatic Picture)	Frank Borzage	True	7th Heaven
1928	DIRECTING (Dramatic Picture)	Herbert Brenon	False	Sorrell and Son
1928	DIRECTING (Dramatic Picture)	King Vidor	False	The Crowd
1928	ENGINEERING EFFECTS	Ralph Hammeras	False	
1928	ENGINEERING EFFECTS	Roy Pomeroy	True	Wings
1928	ENGINEERING EFFECTS	Nugent Slaughter	False	
1928	OUTSTANDING PICTURE	The Caddo Company	False	The Racket
1928	OUTSTANDING PICTURE	Fox	False	7th Heaven
1928	OUTSTANDING PICTURE	Paramount Famous Lasky	True	Wings
1928	UNIQUE AND ARTISTIC PICTURE	Fox	True	Sunrise
1928	UNIQUE AND ARTISTIC PICTURE	Metro-Goldwyn-Mayer	False	The Crowd
1928	UNIQUE AND ARTISTIC PICTURE	Paramount Famous Lasky	False	Chang
1928	WRITING (Adaptation)	Alfred Cohn	False	The Jazz Singer
1928	WRITING (Adaptation)	Anthony Coldeway	False	Glorious Betsy
1928	WRITING (Adaptation)	Benjamin Glazer	True	7th Heaven
1928	WRITING (Original Story)	Lajos Biro	False	The Last Command
1928	WRITING (Original Story)	Ben Hecht	True	Underworld
1928	WRITING (Title Writing)	Gerald Duffy	False	The Private Life of Helen of Troy
1928	WRITING (Title Writing)	Joseph Farnham	True	
1928	WRITING (Title Writing)	George Marion, Jr.	False	
1929	ACTOR	George Bancroft	False	Thunderbolt
1929	ACTOR	Warner Baxter	True	In Old Arizona
1929	ACTOR	Chester Morris	False	Alibi
1929	ACTOR	Paul Muni	False	The Valiant
1929	ACTOR	Lewis Stone	False	The Patriot
1929	ACTRESS	Ruth Chatterton	False	Madame X
