year	category	nominee	title	winner	imdb_id	imdb_img	song_title
1929	Best Actor in a Leading Role	Emil Jannings	The Last Command; The Way of All Flesh	True	nm0417837	https://m.media-amazon.com/images/M/MV5BMTg3NzYyNTQ1Nl5BMl5BanBnXkFtZTgwMjc4NjcwMzE@._V1_.jpg	
1929	Best Actor in a Leading Role	Richard Barthelmess	The Patent Leather Kid	False	nm0001932	https://m.media-amazon.com/images/M/MV5BMTI0NDkzMTAyN15BMl5BanBnXkFtZTYwMjU2MzM2._V1_.jpg	
1929	Best Actor in a Leading Role	Richard Barthelmess	The Noose	False	nm0001932	https://m.media-amazon.com/images/M/MV5BMTI0NDkzMTAyN15BMl5BanBnXkFtZTYwMjU2MzM2._V1_.jpg	
1929	Best Actress in a Leading Role	Janet Gaynor	7th Heaven; Street Angel; Sunrise	True	nm0310980	https://m.media-amazon.com/images/M/MV5BMTM5MzE4Nzk0N15BMl5BanBnXkFtZTYwMjg0NzU2._V1_.jpg	
1929	Best Actress in a Leading Role	Gloria Swanson	Sadie Thompson	False	nm0841797	https://m.media-amazon.com/images/M/MV5BMTU3NzIxOTUwOV5BMl5BanBnXkFtZTYwNDM5MTI2._V1_.jpg	
1929	Best Actress in a Leading Role	Louise Dresser	A Ship Comes In	False	nm0237571	https://m.media-amazon.com/images/M/MV5BNjM0ODAwMDk4N15BMl5BanBnXkFtZTgwNDEzODY3MTE@._V1_.jpg	
1929	Best Art Direction	William Cameron Menzies	Tempest	True	nm0580017	https://m.media-amazon.com/images/M/MV5BZTI0MGIyNTctYmFmMS00MDNlLWIxZjQtNzdjMmIyMmVlY2JkXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg	
1929	Best Art Direction	William Cameron Menzies	The Dove	True	nm0580017	https://m.media-amazon.com/images/M/MV5BZTI0MGIyNTctYmFmMS00MDNlLWIxZjQtNzdjMmIyMmVlY2JkXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg	
1929	Best Art Direction	Harry Oliver	7th Heaven	False	nm0646856	None	
1929	Best Art Direction	Rochus Gliese	Sunrise	False	nm0322843	None	
1929	Best Cinematography	Charles Rosher	Sunrise	True	nm0003546	https://m.media-amazon.com/images/M/MV5BOGE2ZGIzYWUtN2EyNy00NjY3LTgyNGQtZDFiZTIzY2FjYWNjXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg	
1929	Best Cinematography	Karl Struss	Sunrise	True	nm0835365	https://m.media-amazon.com/images/M/MV5BMGIxM2Q1YTEtZDcyMS00ODQwLWFhMzEtM2E5ZjMyZTdiMDg0XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg	
1929	Best Cinematography	George Barnes	Sadie Thompson	False	nm0055604	https://m.media-amazon.com/images/M/MV5BYWMyMDJkODYtNWVmZC00ZjA1LTllM2UtYmE5ZjgyZjgyMjczXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg	
1929	Best Cinematography	George Barnes	The Devil Dancer	False	nm0055604	https://m.media-amazon.com/images/M/MV5BYWMyMDJkODYtNWVmZC00ZjA1LTllM2UtYmE5ZjgyZjgyMjczXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg	
1929	Best Cinematography	George Barnes	The Magic Flame	False	nm0055604	https://m.media-amazon.com/images/M/MV5BYWMyMDJkODYtNWVmZC00ZjA1LTllM2UtYmE5ZjgyZjgyMjczXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg	
1929	Best Director, Comedy Picture	Lewis Milestone	Two Arabian Knights	True	nm0587277	https://m.media-amazon.com/images/M/MV5BMzNhZDI4NGUtZjQ0MS00NWZlLWFiNzQtZWY5ZjcwZmRiODM0XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg	
1929	Best Director, Comedy Picture	Ted Wilde	Speedy	False	nm0928514	https://m.media-amazon.com/images/M/MV5BNjBjMjc0OGItYzA2Yy00MjQ0LWFkYmItYWYxMjZjYjgxODY3XkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_.jpg	
