id,imdb_id,name,age,years_to_egot,path,birth_year,death_year
9945,nm0579678,Alan Menken,71,30,"Oscar (1990),Grammy (1991),Tony (2012),Emmy Daytime (2020)",1949,
9088,nm0515908,Andrew Lloyd Webber,70,38,"Tony (1980),Grammy (1981),Oscar (1997),Emmy Primetime (2018)",1948,
29,nm0000030,Audrey Hepburn,65,40,"Oscar (1954),Tony (1954),Emmy Primetime (1993),Grammy (1994)",1929,1993
1164,nm0005056,Elton John,76,36,"Grammy (1987),Oscar (1995),Tony (2000),Emmy Primetime (2023)",1947,
6902,nm0371040,Helen Hayes,77,45,"Oscar (1932),Tony (1947),Emmy Primetime (1953),Grammy (1977)",1900,1993
32467,nm1617685,Jennifer Hudson,41,15,"Oscar (2007),Grammy (2009),Emmy Daytime (2021),Tony (2022)",1981,
26,nm0000024,John Gielgud,87,43,"Tony (1948),Grammy (1980),Oscar (1982),Emmy Primetime (1991)",1904,2000
19849,nm1775466,John Legend,40,12,"Grammy (2006),Oscar (2015),Tony (2017),Emmy Primetime (2018),Emmy Daytime (2019)",1978,
14317,nm0876642,Jonathan Tunick,59,19,"Oscar (1978),Emmy Primetime (1982),Grammy (1989),Tony (1997)",1938,
10154,nm0591485,Liza Minnelli,45,26,"Tony (1965),Oscar (1973),Emmy Primetime (1973),Grammy (1991)",1946,
1376,nm0006121,Marvin Hamlisch,51,21,"Oscar (1974),Grammy (1975),Tony (1976),Emmy Primetime (1995)",1944,2012
164,nm0000316,Mel Brooks,75,34,"Emmy Primetime (1967),Oscar (1969),Grammy (1999),Tony (2001)",1926,
1398,nm0006256,Richard Rodgers,60,16,"Oscar (1946),Tony (1950),Grammy (1961),Emmy Primetime (1962)",1902,1979
618,nm0001549,Rita Moreno,46,15,"Oscar (1962),Grammy (1973),Tony (1975),Emmy Primetime (1977)",1931,
12409,nm0748784,Scott Rudin,54,28,"Emmy Primetime (1984),Tony (1994),Oscar (2008),Grammy (2012)",1958,
1242,nm0005358,Tim Rice,74,38,"Tony (1980),Grammy (1981),Oscar (1993),Emmy Primetime (2018)",1944,
4437,nm0205626,Viola Davis,58,22,"Tony (2001),Emmy Primetime (2015),Oscar (2017),Grammy (2023)",1965,
81,nm0000155,Whoopi Goldberg,47,16,"Grammy (1986),Oscar (1991),Tony (2002),Emmy Daytime (2002)",1955,
