index,imdb_id,nominee,tony_id,birthYear,deathYear,imdb_img
0,co0008693,Home Box Office (HBO),,,,
1,co0020722,Satellite,,,,
2,co0037052,American Broadcasting Company (ABC),,,,
3,co0038290,Bank of America,,,,
4,co0049678,Chrysler Corporation,,,,
5,co0070627,CBS,,,,
6,co0072315,National Broadcasting Company (NBC),,,,
7,co0101848,Ford,,,,
8,co0112653,Ogilvy & Mather,,,,
9,co0113400,HSI Productions,,,,
10,co0124292,Bravo Media,,,,
11,co0144901,Netflix,,,,
12,co0174716,Lucky Strike,,,,
13,co0354562,NBC.com,,,,
14,co0815206,Social Life,,,,
15,nm0000001,Fred Astaire,,1899,1987,https://m.media-amazon.com/images/M/MV5BY2Y0ODZjYjMtNzY4OC00MGY4LWJmOTMtMjUxZmY0OGExZWQ4XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg
16,nm0000002,Lauren Bacall,lauren-bacall-30584,1924,2014,https://m.media-amazon.com/images/M/MV5BODJmNDcwOGQtOTk5OC00MDA3LWFkNzMtOGVhYTgyZGQwNmZlXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
17,nm0000004,John Belushi,,1949,1982,https://m.media-amazon.com/images/M/MV5BMTU5MDcwODczOV5BMl5BanBnXkFtZTYwMTk5NzM2._V1_.jpg
18,nm0000006,Ingrid Bergman,ingrid-bergman-66876,1915,1982,https://m.media-amazon.com/images/M/MV5BMjQyMTYxODQzMF5BMl5BanBnXkFtZTgwMDA1MTI2NDM@._V1_.jpg
19,nm0000008,Marlon Brando,,1924,2004,https://m.media-amazon.com/images/M/MV5BMTg3MDYyMDE5OF5BMl5BanBnXkFtZTcwNjgyNTEzNA@@._V1_.jpg
20,nm0000009,Richard Burton,richard-burton-33844,1925,1984,https://m.media-amazon.com/images/M/MV5BNDYzNzE3NzI5N15BMl5BanBnXkFtZTYwNDg5OTI2._V1_.jpg
21,nm0000012,Bette Davis,,1908,1989,https://m.media-amazon.com/images/M/MV5BZmMzMjdlMTQtNmE5ZC00NDQyLTg5NzUtZWU1Njg5ZDkwNDc2XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
22,nm0000014,Olivia de Havilland,,1916,2020,https://m.media-amazon.com/images/M/MV5BMjA0Njc5Mjk5M15BMl5BanBnXkFtZTYwOTk1MjU2._V1_.jpg
23,nm0000018,Kirk Douglas,,1916,2020,https://m.media-amazon.com/images/M/MV5BNzI4NjI4ZTYtYTlhZi00NDc1LWI2YWEtZGI2NDNhYTUzYWU5XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
24,nm0000020,Henry Fonda,henry-fonda-40805,1905,1982,https://m.media-amazon.com/images/M/MV5BOTEwNjQ2ODQ4Nl5BMl5BanBnXkFtZTYwMzEwMTM2._V1_.jpg
25,nm0000023,Judy Garland,,1922,1969,https://m.media-amazon.com/images/M/MV5BNTRkMDRhNzgtZjRhZC00YjRjLWFkZTktYzQ4NmE2YzNkZjYxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg
26,nm0000024,John Gielgud,john-gielgud-9565,1904,2000,https://m.media-amazon.com/images/M/MV5BMTU4ODc4Mzk1OV5BMl5BanBnXkFtZTYwNDQ0MjQ2._V1_.jpg
