year,category,nominee_id,winner,title,song_title,award_type
1929,Best Actor in a Leading Role,23729,True,The Last Command; The Way of All Flesh,,Oscars
1929,Best Actor in a Leading Role,21505,False,The Patent Leather Kid,,Oscars
1929,Best Actor in a Leading Role,21505,False,The Noose,,Oscars
1929,Best Actress in a Leading Role,23153,True,7th Heaven; Street Angel; Sunrise,,Oscars
1929,Best Actress in a Leading Role,25644,False,Sadie Thompson,,Oscars
1929,Best Actress in a Leading Role,22822,False,A Ship Comes In,,Oscars
1929,Best Art Direction,24449,True,Tempest,,Oscars
1929,Best Art Direction,24449,True,The Dove,,Oscars
1929,Best Art Direction,24753,False,7th Heaven,,Oscars
1929,Best Art Direction,23218,False,Sunrise,,Oscars
1929,Best Cinematography,21589,True,Sunrise,,Oscars
1929,Best Cinematography,25620,True,Sunrise,,Oscars
1929,Best Cinematography,21997,False,Sadie Thompson,,Oscars
1929,Best Cinematography,21997,False,The Devil Dancer,,Oscars
1929,Best Cinematography,21997,False,The Magic Flame,,Oscars
1929,"Best Director, Comedy Picture",24485,True,Two Arabian Knights,,Oscars
1929,"Best Director, Comedy Picture",26051,False,Speedy,,Oscars
1929,"Best Director, Dramatic Picture",22201,True,7th Heaven,,Oscars
1929,"Best Director, Dramatic Picture",22251,False,Sorrell and Son,,Oscars
1929,"Best Director, Dramatic Picture",25864,False,The Crowd,,Oscars
1929,"Best Effects, Engineering Effects",24930,True,Wings,,Oscars
1929,"Best Effects, Engineering Effects",25461,False,Wings,,Oscars
1929,"Best Effects, Engineering Effects",23423,False,Wings,,Oscars
1929,"Best Writing, Adaptation",23209,True,7th Heaven,,Oscars
1929,"Best Writing, Adaptation",22520,False,Glorious Betsy,,Oscars
1929,"Best Writing, Adaptation",22517,False,The Jazz Singer,,Oscars
1929,"Best Writing, Original Story",23502,True,Underworld,,Oscars
1929,"Best Writing, Original Story",22126,False,The Last Command,,Oscars
1929,"Best Writing, Title Writing",22940,True,The Last Command,,Oscars
1929,"Best Writing, Title Writing",24306,False,The Last Command,,Oscars
1929,"Best Writing, Title Writing",22836,False,The Private Life of Helen of Troy,,Oscars
1930,Best Actor in a Leading Role,22028,True,In Old Arizona,,Oscars
1930,Best Actor in a Leading Role,24583,False,Alibi,,Oscars
1930,Best Actor in a Leading Role,21983,False,Thunderbolt,,Oscars
1930,Best Actor in a Leading Role,25606,False,The Patriot,,Oscars
1930,Best Actor in a Leading Role,4795,False,The Valiant,,Oscars
1930,Best Actress in a Leading Role,24894,True,Coquette,,Oscars
1930,Best Actress in a Leading Role,24197,False,The Broadway Melody,,Oscars
1930,Best Actress in a Leading Role,22537,False,The Barker,,Oscars
1930,Best Actress in a Leading Role,23331,False,The Divine Lady,,Oscars
1930,Best Actress in a Leading Role,22857,False,The Letter,,Oscars
1930,Best Actress in a Leading Role,22460,False,Madame X,,Oscars
1930,Best Art Direction,23179,True,The Bridge of San Luis Rey,,Oscars
1930,Best Art Direction,24449,False,Alibi,,Oscars
1930,Best Art Direction,24083,False,Dynamite,,Oscars
1930,Best Art Direction,24753,False,Street Angel,,Oscars
