year	category	nominee	win	performance	nominee_id
2023	Best Play	Sonia Friedman Productions	Winner	Leopoldstadt	sonia-friedman-productions-108722
2023	Best Play	Roy Furman	Winner	Leopoldstadt	roy-furman-91627
2023	Best Play	Lorne Michaels	Winner	Leopoldstadt	lorne-michaels-7374
2023	Best Play	Stephanie P. McClelland	Winner	Leopoldstadt	stephanie-p-mcclelland-478527
2023	Best Play	Gavin Kalin	Winner	Leopoldstadt	gavin-kalin-527235
2023	Best Play	Delman Sloan	Winner	Leopoldstadt	delman-sloan-535431
2023	Best Play	Eilene Davidson	Winner	Leopoldstadt	eilene-davidson-523996
2023	Best Play	Brad Edgerton	Winner	Leopoldstadt	brad-edgerton-527123
2023	Best Play	Patrick Gracey	Winner	Leopoldstadt	patrick-gracey-491824
2023	Best Play	Hunter Arnold	Winner	Leopoldstadt	hunter-arnold-490661
2023	Best Play	Burnt Umber Productions	Winner	Leopoldstadt	burnt-umber-productions-502904
2023	Best Play	Cue to Cue Productions	Winner	Leopoldstadt	cue-to-cue-productions-529533
2023	Best Play	The Factor Gavin Partnership	Winner	Leopoldstadt	the-factor-gavin-partnership-535432
2023	Best Play	Harris Rubin Productions	Winner	Leopoldstadt	harris-rubin-productions-517360
2023	Best Play	Robert Nederlander, Jr.	Winner	Leopoldstadt	robert-nederlander-jr-482777
2023	Best Play	No Guarantees	Winner	Leopoldstadt	no-guarantees-520021
2023	Best Play	Sandy Robertson	Winner	Leopoldstadt	sandy-robertson-499755
2023	Best Play	Iris Smith	Winner	Leopoldstadt	iris-smith-502902
2023	Best Play	Jamie deRoy/Catherine Adler	Winner	Leopoldstadt	jamie-deroy-catherine-adler-518642
2023	Best Play	Dodge Hall Productions/Waverly Productions	Winner	Leopoldstadt	dodge-hall-productions-waverly-productions-535433
2023	Best Play	Ricardo Hornos/Robert Tichio	Winner	Leopoldstadt	ricardo-hornos-robert-tichio-535434
2023	Best Play	Heni Koenigsberg/Wendy Federman	Winner	Leopoldstadt	heni-koenigsbergwendy-federman-537238
2023	Best Play	Thomas S. Perakos/Stephanie Kramer	Winner	Leopoldstadt	thomas-s-perakos-stephanie-kramer-535435
2023	Best Play	Brian Spector/Judith Seinfeld	Winner	Leopoldstadt	brian-spector-judith-seinfeld-535436
2023	Best Play	Richard Winkler & Alan Shorr	Winner	Leopoldstadt	richard-winkler-alan-shorr-527118
2023	Best Play	Tom Stoppard	Winner	Leopoldstadt	tom-stoppard-8912
2023	Best Play	Lee Daniels	Nominee	Ain't No Mo'	lee-daniels-535034
2023	Best Play	BET: Black Entertainment Television	Nominee	Ain't No Mo'	bet-black-entertainment-television-535975
2023	Best Play	Len Blavatnik	Nominee	Ain't No Mo'	len-blavatnik-499959
2023	Best Play	Ron Burkle	Nominee	Ain't No Mo'	ron-burkle-499960
2023	Best Play	Aryeh B. Bourkoff	Nominee	Ain't No Mo'	aryeh-b-bourkoff-535976
2023	Best Play	59th & Prairie Entertainment	Nominee	Ain't No Mo'	59th-prairie-entertainment-535977
2023	Best Play	RuPaul Charles	Nominee	Ain't No Mo'	rupaul-charles-534474
2023	Best Play	I'll Have Another Productions	Nominee	Ain't No Mo'	ill-have-another-productions-535978
2023	Best Play	Jeremy O. Harris	Nominee	Ain't No Mo'	jeremy-o-harris-523149
2023	Best Play	Lena Waithe	Nominee	Ain't No Mo'	lena-waithe-535979
2023	Best Play	Tucker Tooley Entertainment	Nominee	Ain't No Mo'	tucker-tooley-entertainment-535980
2023	Best Play	CJ Uzomah	Nominee	Ain't No Mo'	cj-uzomah-535981
2023	Best Play	Ann Cox	Nominee	Ain't No Mo'	ann-cox-535982
2023	Best Play	Gina Purlia	Nominee	Ain't No Mo'	gina-purlia-535983
2023	Best Play	Bob Yari	Nominee	Ain't No Mo'	bob-yari-535984
2023	Best Play	Marvin Peart	Nominee	Ain't No Mo'	marvin-peart-500487
2023	Best Play	Colleen Camp	Nominee	Ain't No Mo'	colleen-camp-497780
2023	Best Play	Marvet Britto	Nominee	Ain't No Mo'	marvet-britto-494748
2023	Best Play	Jeremy Green	Nominee	Ain't No Mo'	jeremy-green-535985
2023	Best Play	Sue Wagner	Nominee	Ain't No Mo'	sue-wagner-497837
2023	Best Play	John Johnson	Nominee	Ain't No Mo'	john-johnson-408739
2023	Best Play	Jillian Robbins	Nominee	Ain't No Mo'	jillian-robbins-515179
2023	Best Play	The Public Theater (Oskar Eustis, Artistic Director; Patrick Willingham, Executive Director; Mandy Hackett, Director of Public Theater Productions)	Nominee	Ain't No Mo'	the-public-theater-oskar-eustis-artistic-director-patrick-willingham-executive-director-mandy-hackett-director-of-public-theater-productions-516626
2023	Best Play	Jordan E. Cooper	Nominee	Ain't No Mo'	jordan-e-cooper-535035
2023	Best Play	Manhattan Theatre Club (Lynne Meadow, Artistic Director; Barry Grove, Executive Producer)	Nominee	Cost of Living	manhattan-theatre-club-lynne-meadow-artistic-director-barry-grove-executive-producer-74583
2023	Best Play	Williamstown Theatre Festival (Mandy Greenfield, Artistic Director)	Nominee	Cost of Living	williamstown-theatre-festival-mandy-greenfield-artistic-director-502584
2023	Best Play	Martyna Majok	Nominee	Cost of Living	martyna-majok-518452
2023	Best Play	No Guarantees	Nominee	Fat Ham	no-guarantees-520021
2023	Best Play	Public Theater Productions	Nominee	Fat Ham	public-theater-productions-537030
2023	Best Play	Rashad V. Chambers	Nominee	Fat Ham	rashad-v-chambers-520008
2023	Best Play	National Black Theatre	Nominee	Fat Ham	national-black-theatre-537031
2023	Best Play	Tim Levy	Nominee	Fat Ham	tim-levy-472559
2023	Best Play	Bards on Broadway	Nominee	Fat Ham	bards-on-broadway-537023
2023	Best Play	Bob Boyett	Nominee	Fat Ham	bob-boyett-90012
2023	Best Play	Ghostbuster Productions	Nominee	Fat Ham	ghostbuster-productions-537024
2023	Best Play	James Ijames	Nominee	Fat Ham	james-ijames-534683
2023	Best Play	Cynthia Stroum	Nominee	Fat Ham	cynthia-stroum-380519
2023	Best Play	Audible	Nominee	Fat Ham	audible-516620
2023	Best Play	Adam Cohen	Nominee	Fat Ham	adam-cohen-536910
2023	Best Play	Blake DeVillier	Nominee	Fat Ham	blake-devillier-536911
2023	Best Play	Firemused Productions/JamRock Productions	Nominee	Fat Ham	firemused-productionsjamrock-productions-537025
2023	Best Play	The Forstalls	Nominee	Fat Ham	the-forstalls-500120
2023	Best Play	Iconic Vizion/Corey Brunish	Nominee	Fat Ham	iconic-vizion-corey-brunish-537026
2023	Best Play	John Gore Organization	Nominee	Fat Ham	john-gore-organization-522391
2023	Best Play	Midnight Theatricals	Nominee	Fat Ham	midnight-theatricals-537027
2023	Best Play	David Miner	Nominee	Fat Ham	david-miner-536912
2023	Best Play	Robin Gorman Newman/PickleStar Theatricals	Nominee	Fat Ham	robin-gorman-newmanpicklestar-theatricals-537028
2023	Best Play	Marc Platt	Nominee	Fat Ham	marc-platt-116997
2023	Best Play	Play on Shakespeare	Nominee	Fat Ham	play-on-shakespeare-537029
2023	Best Play	The Wilma Theater	Nominee	Fat Ham	the-wilma-theater-537032
2023	Best Play	Colman Domingo	Nominee	Fat Ham	colman-domingo-417633
2023	Best Play	Cynthia Erivo	Nominee	Fat Ham	cynthia-erivo-499933
2023	Best Play	Andy Jones	Nominee	Fat Ham	andy-jones-493513
2023	Best Play	Dylan Pager	Nominee	Fat Ham	dylan-pager-535960
2023	Best Play	Roundabout Theatre Company (Todd Haimes: Artistic Director/CEO; Sydney Beers: Executive Producer; Steve Dow: Chief Administrative Officer; Christopher Nave, CFRE: Chief Advancement Officer)	Nominee	Fat Ham	roundabout-theatre-company-todd-haimes-artistic-director-ceo-sydney-beers-executive-producer-steve-dow-chief-administrative-officer-christopher-nave-cfre-chief-advancement-officer-536065
2023	Best Play	The Public Theater (Oskar Eustis, Artistic Director; Patrick Willingham, Executive Director; Mandy Hackett, Director of Public Theater Productions)	Nominee	Fat Ham	the-public-theater-oskar-eustis-artistic-director-patrick-willingham-executive-director-mandy-hackett-director-of-public-theater-productions-516626
2023	Best Play	National Black Theatre (Sade Lythcott, CEO; Jonathan McCrory, Executive Artistic Director)	Nominee	Fat Ham	national-black-theatre-sade-lythcott-ceo-jonathan-mccrory-executive-artistic-director-535959
2023	Best Play	James Ijames	Nominee	Fat Ham	james-ijames-534683
2023	Best Play	Second Stage Theater (Carole Rothman, President & Artistic Director; Khady Kamara, Executive Director)	Nominee	Between Riverside and Crazy	second-stage-theater-carole-rothman-president-artistic-director-khady-kamara-executive-director-532855
2023	Best Play	Atlantic Theater Company	Nominee	Between Riverside and Crazy	atlantic-theater-company-20098
2023	Best Play	Stephen Adly Guirgis	Nominee	Between Riverside and Crazy	stephen-adly-guirgis-406144
2023	Best Musical	David Stone	Winner	Kimberly Akimbo	david-stone-21612
2023	Best Musical	Atlantic Theater Company	Winner	Kimberly Akimbo	atlantic-theater-company-20098
2023	Best Musical	James L. Nederlander	Winner	Kimberly Akimbo	james-l-nederlander-22466
2023	Best Musical	LaChanze	Winner	Kimberly Akimbo	lachanze-69942
2023	Best Musical	John Gore	Winner	Kimberly Akimbo	john-gore-478700
2023	Best Musical	Patrick Catullo	Winner	Kimberly Akimbo	patrick-catullo-379125
2023	Best Musical	Aaron Glick	Winner	Kimberly Akimbo	aaron-glick-506580
2023	Best Musical	Max Martin & Tim Headington	Nominee	& Juliet	max-martin-tim-headington-537250
2023	Best Musical	Theresa Steele Page	Nominee	& Juliet	theresa-steele-page-534964
2023	Best Musical	Jenny Petersson	Nominee	& Juliet	jenny-petersson-534965
2023	Best Musical	Martin Dodd	Nominee	& Juliet	martin-dodd-534966
2023	Best Musical	Eva Price	Nominee	& Juliet	eva-price-455867
2023	Best Musical	Lukasz Gottwald	Nominee	& Juliet	lukasz-gottwald-535850
2023	Best Musical	42nd.club	Nominee	& Juliet	42ndclub-500827
2023	Best Musical	Independent Presenters Network	Nominee	& Juliet	independent-presenters-network-96225
2023	Best Musical	Jack Lane	Nominee	& Juliet	jack-lane-492421
2023	Best Musical	Library Company	Nominee	& Juliet	library-company-536916
2023	Best Musical	Shellback	Nominee	& Juliet	shellback-536838
